分類,項目名,index,UID
構造と機能,骨髄の構造,TBL-02-01-001,JlAKpVg
構造と機能,造血幹細胞から各血球への分化と成熟の過程,TBL-02-01-002,JlAKpVk
構造と機能,主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子（G-CSF）、トロンボポエチン）,TBL-02-01-003,JlAKpVo
構造と機能,脾臓、胸腺、リンパ節、扁桃とPeyer板の構造と機能,TBL-02-01-004,JlAKpVs
構造と機能,血漿タンパク質の種類と機能,TBL-02-01-005,JlAKpVw
構造と機能,赤血球とヘモグロビンの構造と機能,TBL-02-01-006,JlAKpV0
構造と機能,白血球の種類と機能,TBL-02-01-007,JlAKpV4
構造と機能,血小板の機能と止血や凝固・線溶の機序,TBL-02-01-008,JlAKpV8
症候,発熱,TBL-02-01-009,JlAKpWA
症候,全身倦怠感,TBL-02-01-010,JlAKpWE
症候,黄疸,TBL-02-01-011,JlAKpWI
症候,リンパ節腫脹,TBL-02-01-012,JlAKpWM
症候,貧血,TBL-02-01-013,JlAKpWQ
症候,出血傾向,TBL-02-01-014,JlAKpWU
症候,血栓傾向,TBL-02-01-015,JlAKpWY
検査方法,末梢血塗抹,TBL-02-01-016,JlAKpWg
検査方法,凝固・線溶・血小板機能検査,TBL-02-01-017,JlAKpWk
検査方法,骨髄検査（骨髄穿刺、骨髄生検）,TBL-02-01-018,JlAKpWo
検査方法,輸血関連検査,TBL-02-01-019,JlAKpWs
検査方法,タンパク分画、免疫電気泳動,TBL-02-01-020,JlAKpWw
検査方法,遺伝子・染色体検査,TBL-02-01-021,JlAKpW0
特異的治療法,輸血,TBL-02-01-022,JlAKpW4
特異的治療法,造血幹細胞移植,TBL-02-01-023,JlAKpW8
