分類,基本的臨床手技,index,UID
一般手技,体位交換、移送,TBL-skills-001,JlAKx_k
一般手技,皮膚消毒,TBL-skills-002,
一般手技,外用薬の貼付・塗布,TBL-skills-003,
一般手技,気道内吸引,TBL-skills-004,JlAKx_s
一般手技,ネブライザー,TBL-skills-005,
一般手技,静脈採血,TBL-skills-006,JlAKx_w
一般手技,末梢静脈の血管確保,TBL-skills-007,JlAKx_0
一般手技,胃管の挿入と抜去,TBL-skills-008,JlAKyAA
一般手技,尿道カテーテルの挿入と抜去,TBL-skills-009,JlAKyAE
一般手技,皮内注射,TBL-skills-010,JlAKyAI
一般手技,皮下注射,TBL-skills-011,JlAKyAQ
一般手技,筋肉注射,TBL-skills-012,JlAKyAU
一般手技,静脈内注射,TBL-skills-013,JlAKyAY
検査手技,尿検査(妊娠反応検査を含む),TBL-skills-014,
検査手技,微生物学検査（Gram 染色を含む）,TBL-skills-015,JlAKyAc
検査手技,12 誘導心電図の記録,TBL-skills-016,JlAKyAg
検査手技,臨床判断のための簡易エコー(FAST含む),TBL-skills-017,JlAKyAk
検査手技,病原体抗原の迅速検査,TBL-skills-018,JlAKyAs
検査手技,簡易血糖測定,TBL-skills-019,JlAKyAw
外科手技,清潔操作,TBL-skills-020,JlAKyA0
外科手技,手術や手技のための手洗い,TBL-skills-021,JlAKyA4
外科手技,手術室におけるガウンテクニック,TBL-skills-022,JlAKyA8
外科手技,基本的な縫合と抜糸,TBL-skills-023,JlAKyBA
