分類,項目名,index,UID
症候,意識障害,TBL-KNpsycho-001,JlAKpy8
症候,不安・抑うつ,TBL-KNpsycho-002,JlAKpy0
症候,認知機能障害,TBL-KNpsycho-003,JlAKpy4
症候,不眠,TBL-KNpsycho-004,JlAKpzA
症候,幻覚・妄想,TBL-KNpsycho-005,JlAKpzE
症候,心気症,TBL-KNpsycho-006,JlAKpzI
検査方法,質問紙法,TBL-KNpsycho-007,JlAKpzM
検査方法,簡易精神症状評価尺度(Brief Psychiatric Rating Scale （BPRS）),TBL-KNpsycho-008,JlAKpzU
検査方法,Hamiltonうつ病評価尺度,TBL-KNpsycho-009,JlAKpzY
検査方法,Beckのうつ病自己評価尺度,TBL-KNpsycho-010,JlAKpzc
検査方法,状態特性不安検査(State-Trait Anxiety Inventory　 （STAI））,TBL-KNpsycho-011,JlAKpzg
検査方法,Mini-Mental State Examination （MMSE）,TBL-KNpsycho-012,JlAKpzk
検査方法,改訂長谷川式簡易知能評価スケール,TBL-KNpsycho-013,JlAKpzo
検査方法,脳波,TBL-KNpsycho-014,
検査方法,脳画像検査(CT・MRI・SPECT等),TBL-KNpsycho-015,
特異的治療法,精神療法,TBL-KNpsycho-016,
特異的治療法,精神薬物療法,TBL-KNpsycho-017,
特異的治療法,精神保健及び精神障害者福祉に関する法律、心神喪失者等医療観察法の適用場面,TBL-KNpsycho-018,JlAKpz0
特異的治療法,コンサルテーション・リエゾン精神医学,TBL-KNpsycho-019,JlAKpz4
